Book Title,Price,Rating
A Light in the Attic,Â51.77,Three
Tipping the Velvet,Â53.74,One
Soumission,Â50.10,One
Sharp Objects,Â47.82,Four
Sapiens: A Brief History of Humankind,Â54.23,Five
The Requiem Red,Â22.65,One
The Dirty Little Secrets of Getting Your Dream Job,Â33.34,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â17.93,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â22.60,Four
The Black Maria,Â52.15,One
"Starving Hearts (Triangular Trade Trilogy, #1)",Â13.99,Two
Shakespeare's Sonnets,Â20.66,Four
Set Me Free,Â17.46,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â52.29,Five
Rip it Up and Start Again,Â35.02,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â57.25,Three
Olio,Â23.88,One
Mesaerion: The Best Science Fiction Stories 1800-1849,Â37.59,One
Libertarianism for Beginners,Â51.33,Two
It's Only the Himalayas,Â45.17,Two
In Her Wake,Â12.84,One
How Music Works,Â37.32,Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â30.52,Three
Chase Me (Paris Nights #2),Â25.27,Five
Black Dust,Â34.53,Five
Birdsong: A Story in Pictures,Â54.64,Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â22.50,Three
Aladdin and His Wonderful Lamp,Â53.13,Three
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â40.30,Five
Wall and Piece,Â44.18,Four
The Four Agreements: A Practical Guide to Personal Freedom,Â17.66,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â31.05,Three
The Elephant Tree,Â23.82,Five
The Bear and the Piano,Â36.89,One
Sophie's World,Â15.94,Five
Penny Maybe,Â33.29,Three
Maude (1883-1993):She Grew Up with the country,Â18.02,Two
"In a Dark, Dark Wood",Â19.63,One
